category,source_name,url,local_path,status,size_bytes,note
stage_map,VGMaps Stage 25,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage25.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-25-map.png,present,1310,
stage_map,VGMaps Stage 26,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage26.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-26-map.png,present,1904,
stage_map,VGMaps Stage 27,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage27.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-27-map.png,present,1442,
stage_map,VGMaps Stage 28,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage28.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-28-map.png,present,1550,
stage_map,VGMaps Stage 29,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage29.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-29-map.png,present,1460,
stage_map,VGMaps Stage 30,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage30.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-30-map.png,present,1605,
stage_map,VGMaps Stage 31,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage31.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-31-map.png,present,1619,
stage_map,VGMaps Stage 32,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage32.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-32-map.png,present,1511,
stage_map,VGMaps Stage 33,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage33.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-33-map.png,present,1402,
stage_map,VGMaps Stage 34,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage34.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-34-map.png,present,1228,
stage_map,VGMaps Stage 35,https://www.vgmaps.com/Atlas/NES/BattleCity(J)-Stage35.png,04-stage-tiles-maps/vgmaps-stage-maps/battle-city-stage-35-map.png,present,1393,
audio,Sounds Resource Sound Effects ZIP,https://sounds.spriters-resource.com/media/assets/394/397238.zip?updated=1755528861,05-audio/battle-city-sfx.zip,present,3469344,17 wav packed in zip
tech_note,Data Crystal Overview,https://datacrystal.tcrf.net/wiki/Battle_City,06-tech-notes/data-crystal-overview.url.txt,present,46,
tech_note,Data Crystal RAM Map,https://datacrystal.tcrf.net/wiki/Battle_City:RAM_map,06-tech-notes/data-crystal-ram-map.url.txt,present,54,
tech_note,Spriters Resource Index,https://www.spriters-resource.com/nes/batcity/index.html,06-tech-notes/spriters-resource-index.url.txt,present,57,
tech_note,VGFacts Unused Content,https://www.vgfacts.com/game/battlecity/trivia-11553/,06-tech-notes/vgfacts-unused-content.url.txt,present,54,
tech_note,VGMaps Index,https://www.vgmaps.com/Atlas/NES/index.htm,06-tech-notes/vgmaps-battle-city-index.url.txt,present,43,
